CategoryID,CategoryName,TopicID,TopicName,TopicDifficult,TileID,TileName,TileImg
28,Everyday City Life,1,Neighborhood Services,Normal,1,post office,
,,,,,2,firehouse,
,,,,,3,laundromat,
,,,,,4,barbershop,
28,Everyday City Life,2,Coffee Shop Gear,Normal,1,espresso machine,
,,,,,2,milk frother,
,,,,,3,pastry case,
,,,,,4,tip jar,
28,Everyday City Life,3,Grocery Staples,Normal,1,bagel,
,,,,,2,romaine lettuce,
,,,,,3,yogurt,
,,,,,4,peanut butter,
28,Everyday City Life,4,Errand Spots,Normal,1,hardware store,
,,,,,2,car wash,
,,,,,3,produce stand,
,,,,,4,pet shop,
28,Everyday City Life,5,City Transport,Normal,1,subway train,
,,,,,2,bus stop,
,,,,,3,taxi cab,
,,,,,4,bike lane,
28,Everyday City Life,6,Home Tech,Normal,1,mesh router,
,,,,,2,smart speaker,
,,,,,3,laptop stand,
,,,,,4,surge protector,
28,Everyday City Life,7,Kitchen Tools,Normal,1,paring knife,
,,,,,2,dutch oven,
,,,,,3,measuring cup,
,,,,,4,colander,
28,Everyday City Life,8,Cozy Decor,Normal,1,throw pillow,
,,,,,2,wall sconce,
,,,,,3,side table,
,,,,,4,photo album,
28,Everyday City Life,9,Wardrobe Picks,Normal,1,windbreaker,
,,,,,2,running shoe,
,,,,,3,wool sweater,
,,,,,4,bucket hat,
28,Everyday City Life,10,Gym Equipment,Normal,1,exercise bench,
,,,,,2,elliptical machine,
,,,,,3,treadmill,
,,,,,4,water bottle,
28,Everyday City Life,11,Park Day,Normal,1,picnic blanket,
,,,,,2,kite,
,,,,,3,frisbee,
,,,,,4,park bench,
28,Everyday City Life,12,Study Supplies,Normal,1,drawing pad,
,,,,,2,clipboard,
,,,,,3,highlighter,
,,,,,4,messenger bag,
28,Everyday City Life,13,Office Desk,Normal,1,stapler,
,,,,,2,swivel chair,
,,,,,3,desk organizer,
,,,,,4,whiteboard,
28,Everyday City Life,14,Garden Gear,Normal,1,watering can,
,,,,,2,flower pot,
,,,,,3,garden hose,
,,,,,4,bird feeder,
28,Everyday City Life,15,Leisure Night,Normal,1,board game,
,,,,,2,movie ticket,
,,,,,3,popcorn bucket,
,,,,,4,soda cup,
28,Everyday City Life,16,Baby Gear,Normal,1,stroller,
,,,,,2,crib,
,,,,,3,diaper bag,
,,,,,4,pacifier,
28,Everyday City Life,17,Pet Care,Normal,1,pet fountain,
,,,,,2,dog leash,
,,,,,3,cat carrier,
,,,,,4,chew toy,
28,Everyday City Life,18,Cleaning Tools,Normal,1,broom,
,,,,,2,vacuum cleaner,
,,,,,3,mop bucket,
,,,,,4,dustpan,
28,Everyday City Life,19,Winter Prep,Normal,1,snow shovel,
,,,,,2,ice scraper,
,,,,,3,knit scarf,
,,,,,4,space heater,
28,Everyday City Life,20,Beach Day,Normal,1,beach towel,
,,,,,2,sunscreen,
,,,,,3,cooler,
,,,,,4,beach sandal,
29,Spacefaring Technology,561,Launch Systems,Normal,1,launchpad,
,,,,,2,umbilical tower,
,,,,,3,sound suppressor,
,,,,,4,hold-down arm,
,,562,Spacecraft Modules,Normal,1,crew capsule,
,,,,,2,service module,
,,,,,3,habitation node,
,,,,,4,docking tunnel,
,,563,Propulsion Methods,Normal,1,ion thruster,
,,,,,2,solid booster,
,,,,,3,methalox engine,
,,,,,4,solar sail,
,,564,Navigation Tools,Normal,1,star tracker,
,,,,,2,inertial unit,
,,,,,3,reaction wheel,
,,,,,4,guidance computer,
,,565,Communication Array,Normal,1,high-gain antenna,
,,,,,2,ka-band dish,
,,,,,3,relay satellite,
,,,,,4,telemetry unit,
,,566,Power Sources,Normal,1,radioisotope generator,
,,,,,2,roll-out panel,
,,,,,3,fuel cell stack,
,,,,,4,power bus,
,,567,Scientific Payloads,Normal,1,gamma spectrometer,
,,,,,2,sample cache,
,,,,,3,imaging radiometer,
,,,,,4,seismometer,
,,568,Extravehicular Gear,Normal,1,modular suit,
,,,,,2,safety tether,
,,,,,3,tool caddy,
,,,,,4,helmet visor,
,,569,Planetary Rovers,Normal,1,rocker-bogie,
,,,,,2,hazard camera,
,,,,,3,drill carriage,
,,,,,4,mast assembly,
,,570,Orbital Infrastructure,Normal,1,pressurized tunnel,
,,,,,2,truss segment,
,,,,,3,logistics module,
,,,,,4,crew berthing,
,,571,Deep Space Observatories,Normal,1,sunshield,
,,,,,2,primary mirror,
,,,,,3,instrument bay,
,,,,,4,starshade,
,,572,Protective Shielding,Normal,1,micrometeoroid bumper,
,,,,,2,ablative tile,
,,,,,3,whipple shield,
,,,,,4,thermal blanket,
,,573,Life Support,Normal,1,carbon scrubber,
,,,,,2,potable tank,
,,,,,3,galley rack,
,,,,,4,oxygen manifold,
,,574,Thermal Control,Normal,1,radiator panel,
,,,,,2,heat exchanger,
,,,,,3,phase-change unit,
,,,,,4,louvers,
,,575,Flight Operations,Normal,1,mission console,
,,,,,2,tracking network,
,,,,,3,flight plan,
,,,,,4,range safety,
,,576,Mission Roles,Normal,1,flight director,
,,,,,2,capsule communicator,
,,,,,3,payload specialist,
,,,,,4,range officer,
,,577,Space Materials,Normal,1,aerogel,
,,,,,2,beta cloth,
,,,,,3,inconel,
,,,,,4,beryllium foil,
,,578,Interplanetary Destinations,Normal,1,enceladus,
,,,,,2,phobos,
,,,,,3,triton,
,,,,,4,titan,
,,579,Training Facilities,Normal,1,neutral buoyancy,
,,,,,2,centrifuge bay,
,,,,,3,gimbal rig,
,,,,,4,vacuum chamber,
,,580,Historic Missions,Normal,1,vostok,
,,,,,2,mercury program,
,,,,,3,pioneer,
,,,,,4,sojourner,
30,Museum Treasures,581,Ancient Scripts,Normal,1,cuneiform tablet,
,,,,,2,papyrus scroll,
,,,,,3,oracle bone,
,,,,,4,rosetta stone,
,,582,Classical Sculpture,Normal,1,marble bust,
,,,,,2,bronze torso,
,,,,,3,limestone frieze,
,,,,,4,pedestal plinth,
,,583,Decorative Arts,Normal,1,lacquerware box,
,,,,,2,porcelain vase,
,,,,,3,enameled bowl,
,,,,,4,ivory comb,
,,584,Maritime Relics,Normal,1,astrolabe,
,,,,,2,quadrant,
,,,,,3,bilge pump,
,,,,,4,ship bell,
,,585,Scientific Curios,Normal,1,orrery,
,,,,,2,cloud chamber,
,,,,,3,leyden jar,
,,,,,4,spark gap,
,,586,Timekeeping,Normal,1,pendulum clock,
,,,,,2,marine chronometer,
,,,,,3,sandglass,
,,,,,4,sundial,
,,587,Musical Heritage,Normal,1,clavichord,
,,,,,2,lyre,
,,,,,3,ocarina,
,,,,,4,tuning fork,
,,588,Decorative Textiles,Normal,1,tapestry,
,,,,,2,brocade panel,
,,,,,3,ikat cloth,
,,,,,4,batik shawl,
,,589,Ceremonial Objects,Normal,1,ritual mask,
,,,,,2,ceremonial mace,
,,,,,3,totem pole,
,,,,,4,libation bowl,
,,590,Ancient Tools,Normal,1,flint handaxe,
,,,,,2,adze,
,,,,,3,mortise chisel,
,,,,,4,bow drill,
,,591,Mapmaking,Normal,1,portolan chart,
,,,,,2,surveyor compass,
,,,,,3,planisphere,
,,,,,4,map case,
,,592,Royal Regalia,Normal,1,signet ring,
,,,,,2,coronation orb,
,,,,,3,scepter,
,,,,,4,crown jewel,
,,593,Writing Instruments,Normal,1,reed pen,
,,,,,2,stylus,
,,,,,3,quill,
,,,,,4,inkstone,
,,594,Medical History,Normal,1,trepanation saw,
,,,,,2,apothecary scale,
,,,,,3,cupping horn,
,,,,,4,porcelain mortar,
,,595,Printing & Books,Normal,1,movable type,
,,,,,2,printing press,
,,,,,3,illuminated folio,
,,,,,4,gilded binding,
,,596,Lighting History,Normal,1,oil lamp,
,,,,,2,gas sconce,
,,,,,3,candle snuffer,
,,,,,4,lantern slide,
,,597,Glassworks,Normal,1,cameo glass,
,,,,,2,millefiori cane,
,,,,,3,fused goblet,
,,,,,4,glass diorama,
,,598,Coinage,Normal,1,denarius,
,,,,,2,ducat,
,,,,,3,tetradrachm,
,,,,,4,mint die,
,,599,Jewelry Styles,Normal,1,filigree pendant,
,,,,,2,cameo brooch,
,,,,,3,torc,
,,,,,4,signet bracelet,
,,600,Armor & Arms,Normal,1,brigandine,
,,,,,2,halberd,
,,,,,3,armet,
,,,,,4,parrying dagger,
