CategoryID,CategoryName,TopicID,TopicName,TopicDifficult,TileID,TileName,TileImg
1,Fruits,1,Citrus Fruits,Normal,1,Navel Orange,
,,,,,2,Meyer Lemon,
,,,,,3,Ruby Grapefruit,
,,,,,4,Limequat,
,,2,Berries,Normal,1,Blueberry,
,,,,,2,Raspberry,
,,,,,3,Blackberry,
,,,,,4,Cranberry,
,,3,Tropical Picks,Normal,1,Pineapple,
,,,,,2,Mango,
,,,,,3,Papaya,
,,,,,4,Guava,
,,4,Stone Fruits,Normal,1,Nectarine,
,,,,,2,Apricot,
,,,,,3,Rainier Cherry,
,,,,,4,Cling Peach,
,,5,Melon Varieties,Normal,1,Cantaloupe,
,,,,,2,Honeydew,
,,,,,3,Watermelon,
,,,,,4,Galia Melon,
,,6,Apple Types,Normal,1,Gala Apple,
,,,,,2,Fuji Apple,
,,,,,3,Honeycrisp Apple,
,,,,,4,Braeburn Apple,
,,7,Pears,Normal,1,Bartlett Pear,
,,,,,2,Anjou Pear,
,,,,,3,Comice Pear,
,,,,,4,Seckel Pear,
,,8,Grapes,Normal,1,Concord Grape,
,,,,,2,Cotton Candy Grape,
,,,,,3,Thompson Grape,
,,,,,4,Moon Drop Grape,
,,9,Citrus Hybrids,Normal,1,Tangelo,
,,,,,2,Ugli Fruit,
,,,,,3,Kumquat,
,,,,,4,Yuzu,
,,10,Banana Types,Normal,1,Plantain,
,,,,,2,Cavendish Banana,
,,,,,3,Red Banana,
,,,,,4,Burro Banana,
,,11,Small Fruits,Normal,1,Currant,
,,,,,2,Gooseberry,
,,,,,3,Huckleberry,
,,,,,4,Mulberry,
,,12,Exotic Fruits,Normal,1,Dragonfruit,
,,,,,2,Lychee,
,,,,,3,Longan,
,,,,,4,Rambutan,
,,13,Tart Fruits,Normal,1,Quince,
,,,,,2,Soursop,
,,,,,3,Tamarind,
,,,,,4,Persimmon,
,,14,Tropical Citrus,Normal,1,Calamansi,
,,,,,2,Finger Lime,
,,,,,3,Bergamot,
,,,,,4,Pomelo,
,,15,Fig & Date,Normal,1,Mission Fig,
,,,,,2,Kadota Fig,
,,,,,3,Medjool Date,
,,,,,4,Deglet Date,
,,16,Prickly Treats,Normal,1,Prickly Pear,
,,,,,2,Kiwano,
,,,,,3,Feijoa,
,,,,,4,Salak,
,,17,Stone Berry Mix,Normal,1,Boysenberry,
,,,,,2,Loganberry,
,,,,,3,Tayberry,
,,,,,4,Olallieberry,
,,18,Summer Staples,Normal,1,Pluot,
,,,,,2,Aprium,
,,,,,3,White Peach,
,,,,,4,Yellow Plum,
,,19,Farmstand Picks,Normal,1,Sugar Apple,
,,,,,2,Canistel,
,,,,,3,Cherimoya,
,,,,,4,Black Sapote,
,,20,Culinary Citrus,Normal,1,Sudachi,
,,,,,2,Kabosu,
,,,,,3,Shonan Gold,
,,,,,4,Mandarin,
2,Vegetables,21,Leafy Greens,Normal,1,Spinach,
,,,,,2,Kale,
,,,,,3,Romaine,
,,,,,4,Arugula,
,,22,Root Vegetables,Normal,1,Carrot,
,,,,,2,Beet,
,,,,,3,Parsnip,
,,,,,4,Turnip,
,,23,Brassicas,Normal,1,Broccoli,
,,,,,2,Cauliflower,
,,,,,3,Brussels Sprout,
,,,,,4,Bok Choy,
,,24,Nightshades,Normal,1,Eggplant,
,,,,,2,Bell Pepper,
,,,,,3,Tomatillo,
,,,,,4,Jalapeno,
,,25,Gourds,Normal,1,Butternut Squash,
,,,,,2,Acorn Squash,
,,,,,3,Zucchini,
,,,,,4,Pumpkin,
,,26,Alliums,Normal,1,Yellow Onion,
,,,,,2,Shallot,
,,,,,3,Leek,
,,,,,4,Garlic,
,,27,Beans & Peas,Normal,1,Green Bean,
,,,,,2,Snow Pea,
,,,,,3,Sugar Snap,
,,,,,4,Lima Bean,
,,28,Stalk Veggies,Normal,1,Celery,
,,,,,2,Fennel Bulb,
,,,,,3,Kohlrabi,
,,,,,4,Asparagus,
,,29,Tubers,Normal,1,Russet Potato,
,,,,,2,Red Potato,
,,,,,3,Sweet Potato,
,,,,,4,Yukon Gold,
,,30,Herbs,Normal,1,Basil,
,,,,,2,Cilantro,
,,,,,3,Parsley,
,,,,,4,Dill,
,,31,Mushrooms,Normal,1,Shiitake,
,,,,,2,Portobello,
,,,,,3,Cremini,
,,,,,4,Enoki,
,,32,Sprouts,Normal,1,Alfalfa Sprout,
,,,,,2,Bean Sprout,
,,,,,3,Broccoli Sprout,
,,,,,4,Radish Sprout,
,,33,Salad Mix,Normal,1,Endive,
,,,,,2,Butter Lettuce,
,,,,,3,Frisee,
,,,,,4,Watercress,
,,34,Pickling Veg,Normal,1,Kirby Cucumber,
,,,,,2,Gherkin,
,,,,,3,Daikon,
,,,,,4,Pearl Onion,
,,35,Hot Peppers,Normal,1,Serrano,
,,,,,2,Habanero,
,,,,,3,Poblano,
,,,,,4,Fresno Pepper,
,,36,Asian Greens,Normal,1,Tatsoi,
,,,,,2,Choy Sum,
,,,,,3,Mizuna,
,,,,,4,Mustard Green,
,,37,Sea Veggies,Normal,1,Nori,
,,,,,2,Wakame,
,,,,,3,Kombu,
,,,,,4,Dulse,
,,38,Flower Veg,Normal,1,Artichoke,
,,,,,2,Broccolini,
,,,,,3,Romanesco,
,,,,,4,Caulilini,
,,39,Microgreens,Normal,1,Radish Microgreen,
,,,,,2,Sunflower Shoot,
,,,,,3,Pea Tendril,
,,,,,4,Amaranth Microgreen,
,,40,Heirloom Picks,Normal,1,Purple Carrot,
,,,,,2,Rainbow Chard,
,,,,,3,Striped Beet,
,,,,,4,Candy Cane Pepper,
3,Food & Cooking,41,Baking Essentials,Normal,1,All-Purpose Flour,
,,,,,2,Granulated Sugar,
,,,,,3,Baking Powder,
,,,,,4,Vanilla Extract,
,,42,Cooking Oils,Normal,1,Olive Oil,
,,,,,2,Canola Oil,
,,,,,3,Sesame Oil,
,,,,,4,Avocado Oil,
,,43,Spices,Normal,1,Cumin,
,,,,,2,Paprika,
,,,,,3,Turmeric,
,,,,,4,Cinnamon,
,,44,Kitchen Tools,Normal,1,Chef Knife,
,,,,,2,Cutting Board,
,,,,,3,Mixing Bowl,
,,,,,4,Whisk,
,,45,Cookware,Normal,1,Cast Iron Skillet,
,,,,,2,Saucepan,
,,,,,3,Stockpot,
,,,,,4,Roasting Pan,
,,46,Grains,Normal,1,White Rice,
,,,,,2,Quinoa,
,,,,,3,Bulgur,
,,,,,4,Barley,
,,47,Pasta Shapes,Normal,1,Spaghetti,
,,,,,2,Penne,
,,,,,3,Fusilli,
,,,,,4,Farfalle,
,,48,Cheeses,Normal,1,Cheddar,
,,,,,2,Mozzarella,
,,,,,3,Gouda,
,,,,,4,Parmesan,
,,49,Proteins,Normal,1,Chicken Breast,
,,,,,2,Pork Chop,
,,,,,3,Salmon Fillet,
,,,,,4,Tofu,
,,50,Condiments,Normal,1,Ketchup,
,,,,,2,Mayonnaise,
,,,,,3,Yellow Mustard,
,,,,,4,Soy Sauce,
,,51,Breakfast Items,Normal,1,Pancake,
,,,,,2,Waffle,
,,,,,3,Omelet,
,,,,,4,Granola,
,,52,Desserts,Normal,1,Brownie,
,,,,,2,Cheesecake,
,,,,,3,Cupcake,
,,,,,4,Tiramisu,
,,53,Herbs & Aromatics,Normal,1,Rosemary,
,,,,,2,Thyme,
,,,,,3,Sage,
,,,,,4,Lemongrass,
,,54,Cured Meats,Normal,1,Prosciutto,
,,,,,2,Salami,
,,,,,3,Bacon,
,,,,,4,Chorizo,
,,55,Breads,Normal,1,Baguette,
,,,,,2,Sourdough Loaf,
,,,,,3,Pita,
,,,,,4,Brioche,
,,56,Soups,Normal,1,Chicken Noodle Soup,
,,,,,2,Tomato Bisque,
,,,,,3,Clam Chowder,
,,,,,4,Minestrone,
,,57,Salads,Normal,1,Caesar Salad,
,,,,,2,Greek Salad,
,,,,,3,Cobb Salad,
,,,,,4,Waldorf Salad,
,,58,Dessert Toppings,Normal,1,Whipped Cream,
,,,,,2,Chocolate Syrup,
,,,,,3,Sprinkles,
,,,,,4,Caramel Sauce,
,,59,Cooking Methods,Normal,1,Grilling,
,,,,,2,Roasting,
,,,,,3,Steaming,
,,,,,4,Braising,
,,60,Kitchen Appliances,Normal,1,Blender,
,,,,,2,Toaster,
,,,,,3,Slow Cooker,
,,,,,4,Air Fryer,
4,Drinks & Beverages,61,Morning Coffee,Normal,1,Espresso,
,,,,,2,Americano,
,,,,,3,Latte,
,,,,,4,Cappuccino,
,,62,Tea Varieties,Normal,1,Green Tea,
,,,,,2,Black Tea,
,,,,,3,Oolong,
,,,,,4,Chamomile,
,,63,Soft Drinks,Normal,1,Cola,
,,,,,2,Ginger Ale,
,,,,,3,Root Beer,
,,,,,4,Lemon Soda,
,,64,Juices,Normal,1,Orange Juice,
,,,,,2,Apple Juice,
,,,,,3,Grape Juice,
,,,,,4,Cranberry Juice,
